music,speech
15.25,57.70833333
16.75,52.91666667
12.70833333,51
12.875,52.41666667
14.58333333,49.45833333
16.66666667,52.125
16.45833333,52.125
14.875,53.16666667
16.16666667,50.875
13.95833333,54
16,54.45833333
17.58333333,51.41666667
15.58333333,53.04166667
17.25,52.79166667
13.75,50.83333333
20.04166667,52.08333333
13.125,52.45833333
13.29166667,52.41666667
15.41666667,54.33333333
16.875,53
12.58333333,50.54166667
17.29166667,54.25
18.125,54.125
16.875,54.95833333
16.625,52.70833333
16.08333333,53.25
15.29166667,46.75
18.33333333,52.66666667
16.70833333,61.16666667
17.20833333,53
17.70833333,55.875
12.33333333,55.79166667
12.625,53.16666667
16.95833333,51.66666667
16.95833333,50.33333333
13.29166667,54.16666667
17.41666667,51.95833333
15.54166667,51.91666667
21,51.25
16.79166667,52.75
13.16666667,52.875
16.58333333,52.54166667
13.16666667,48.375
17.5,50
16.45833333,55.5
19.79166667,54.875
15.16666667,50.08333333
16.91666667,50.54166667
17.66666667,53.29166667
18.79166667,50.58333333
16.29166667,55.125
16.66666667,51.95833333
16.875,48.70833333
15.875,58.625
18.16666667,48.91666667
14.33333333,51.625
18.16666667,56.04166667
13.08333333,55.54166667
15.375,54.5
18.875,51.16666667
14.25,48.33333333
18.08333333,55.125
18.91666667,53.91666667
17.95833333,52.04166667
13.625,53.45833333
14.5,52.79166667
24.625,52.08333333
13.95833333,55
14.25,48.20833333
17,54.79166667
19.66666667,51.625
13.5,49.45833333
18.79166667,49.41666667
19.29166667,57.20833333
18.125,55.91666667
12.875,51.04166667
12,53.58333333
14.16666667,53.875
17.41666667,56.75
18.08333333,53.25
14.875,53
15.83333333,52.16666667
16.41666667,51.45833333
17.58333333,53.625
15.33333333,47.91666667
18,55.66666667
18.29166667,55.125
13.66666667,55.125
14.58333333,53.875
13.375,52.20833333
18.45833333,48
14.66666667,54.875
15.45833333,57.125
11.45833333,52.16666667
11.91666667,50.75
15,55.66666667
12.54166667,51.25
18.33333333,54.04166667
14.66666667,47.45833333
15.625,51.91666667
13.54166667,50.16666667
19.16666667,53.04166667
13.29166667,54.125
14.54166667,55.54166667
16.66666667,53.08333333
15.20833333,51.04166667
14.16666667,54.95833333
20.125,56.66666667
18.83333333,52.91666667
17,50.54166667
21.79166667,51.79166667
12.20833333,54.79166667
18.25,50.33333333
20.41666667,49.58333333
13.66666667,51.58333333
16.25,50.95833333
15.04166667,52.875
17.45833333,53.16666667
19.91666667,53.20833333
20.625,51.08333333
17.54166667,54.16666667
15.875,50.33333333
14.45833333,55.04166667
16.41666667,55.20833333
18.08333333,52.25
14.625,53.75
18.04166667,58.66666667
16.375,52.625
15.875,55.29166667
16.45833333,51.16666667
15.25,51.625
15.75,54.58333333
13.29166667,56.875
13.45833333,49.79166667
18.58333333,48.16666667
17.625,50.75
13.875,53.5
20.5,50.875
14.79166667,52.375
18.75,46.91666667
18.20833333,53.875
19.375,54.75
15.625,54.91666667
11.54166667,50.20833333
17.33333333,49.70833333
17.04166667,49.875
16.66666667,46.45833333
13.58333333,48
10.58333333,51.375
15.16666667,57.66666667
12.25,50.66666667
12.125,53.75
17.5,49.95833333
16.75,50.125
20.33333333,54.91666667
18.375,54.95833333
17.875,51.33333333
16.125,51.54166667
16.58333333,53.95833333
14.70833333,58.83333333
17.29166667,61.5
19.66666667,52.66666667
20.25,52.95833333
16.20833333,50.70833333
15.20833333,52.16666667
14.66666667,51.91666667
12.625,54.5
17,54.66666667
17.5,57.58333333
13.58333333,53.54166667
12.83333333,51.16666667
15.41666667,48.33333333
11.875,54.20833333
18.66666667,51.625
17.04166667,51.16666667
15.125,53.54166667
15.83333333,52.16666667
14.66666667,52.95833333
13.375,57.66666667
14.66666667,54.375
19.54166667,54.83333333
20.75,55.58333333
17.04166667,53.20833333
15.45833333,51.75
13.20833333,52.625
14.54166667,55.41666667
16.66666667,52.5
14.875,54.125
23.08333333,50.375
16.45833333,46.95833333
16.5,53.75
11.79166667,53.70833333
16.25,51.29166667
14.91666667,54.16666667
14.54166667,53.95833333
12.25,53.58333333
15.95833333,57.83333333
13.58333333,55.70833333
14.66666667,53.45833333
15.75,54.79166667
15.58333333,55.54166667
18.54166667,51.33333333
16.04166667,51.95833333
14.58333333,56.375
14.33333333,52.70833333
19.75,54.58333333
17.45833333,56.58333333
14.33333333,49.91666667
17.79166667,54.08333333
18.79166667,56.70833333
19.66666667,52.45833333
12.41666667,57.45833333
19.41666667,49.41666667
17.20833333,56.16666667
15.125,56.25
14.75,54.16666667
14.66666667,54.70833333
16.66666667,52.54166667
12.58333333,57.70833333
15.375,57.375
13.25,51.58333333
14.75,50.75
12.875,59.58333333
14.875,55.33333333
17.45833333,53.66666667
11.25,53.83333333
18.125,54.375
18.95833333,54.29166667
19.125,52.875
11.66666667,49.95833333
14.25,54.125
12.29166667,52.66666667
13.41666667,50.875
15.20833333,53.95833333
11.58333333,49.45833333
16.70833333,52.5
12.91666667,52.66666667
13.20833333,55.16666667
12.66666667,50.125
13.79166667,53.875
17.54166667,54.70833333
15.25,54.79166667
16.66666667,57.04166667
15.79166667,50.04166667
13.91666667,56.66666667
17,55.54166667
13.83333333,49.625
14.75,51.625
17.66666667,51.5
16.33333333,52.25
18.70833333,55.125
17.75,47.45833333
14.25,56.125
17.41666667,53.66666667
14.16666667,52.375
15.95833333,56.79166667
18.91666667,49.83333333
10.75,52.95833333
15.75,52.875
17.83333333,54.33333333
19.20833333,52.04166667
13.04166667,54.33333333
13.70833333,47.5
13.41666667,50.20833333
15.04166667,49.33333333
17.375,54.04166667
15.625,51.91666667
17.79166667,52.5
15.45833333,47.58333333
16.25,54.375
18.95833333,51.79166667
15.08333333,52.91666667
17.5,51.75
17.66666667,56.08333333
15.91666667,53.16666667
14,55.70833333
13.625,51
16.79166667,55
15.875,52.58333333
16.125,59.29166667
19.79166667,57.04166667
11.625,48.25
14.04166667,50.79166667
17.5,53.70833333
17,58.08333333
16.33333333,58.83333333
16.75,49.375
16.70833333,46.45833333
15.125,53.875
15.75,55.25
19.41666667,50.375
15.125,53.25
15.33333333,51.16666667
14.875,53.41666667
15.95833333,55.66666667
18.25,50.625
15.08333333,48.45833333
16.95833333,52.375
13.33333333,57.33333333
15.16666667,51.08333333
15.20833333,52.20833333
18.375,49.70833333
13.41666667,55.375
14.79166667,54.33333333
18,49.375
16.41666667,54.41666667
16.41666667,52.41666667
14.45833333,50.125
14.29166667,54.25
13.25,55.95833333
13.83333333,56.5
15.66666667,54.625
15.91666667,51
17.79166667,48.375
15.91666667,50.75
19.54166667,53.875
17.58333333,53.70833333
15.54166667,53.20833333
14.16666667,51.16666667
19.45833333,55.91666667
13.25,56.125
16.70833333,53.25
18.70833333,55.29166667
14.83333333,57.875
13.79166667,49.04166667
12.95833333,55.25
17.66666667,48.20833333
17.95833333,54.125
13.375,55.58333333
16.29166667,53.625
15.66666667,50.70833333
15.75,52.70833333
14.91666667,48.41666667
14.83333333,53.75
15.54166667,48.54166667
22.66666667,50.83333333
14.125,52.375
11.41666667,51.41666667
15.29166667,51.75
11.625,55.25
15.08333333,58.375
14.95833333,52.5
15.83333333,53.91666667
14.5,47.41666667
12.29166667,51.70833333
17.875,49.91666667
15.83333333,50.79166667
13.95833333,51.66666667
16.04166667,53.5
19.16666667,50.66666667
14.70833333,46.41666667
16.375,48.25
15.58333333,49.29166667
16.20833333,56.20833333
15.70833333,50.75
12.45833333,49.58333333
16,48.70833333
15.875,54.83333333
16.33333333,47.91666667
13.25,56.04166667
14.66666667,54.95833333
16.33333333,47.125
17.41666667,51.875
19.33333333,54.875
19.79166667,52.375
11.75,55.45833333
17.75,50.08333333
13.5,49.08333333
14.625,51.58333333
18.75,49.875
18.66666667,52.5
14.45833333,53.58333333
16.58333333,51.375
14.29166667,56.875
13.33333333,55.04166667
14.25,56.125
15,54.75
12.79166667,53.66666667
16.16666667,57.04166667
18.95833333,55.41666667
12.875,57.20833333
11.54166667,50.75
15.20833333,50.75
16.16666667,51.54166667
19.70833333,57.16666667
17.08333333,53.79166667
16.70833333,56.625
17.79166667,53.08333333
17,57.16666667
17,52.45833333
13.70833333,50.41666667
13.20833333,52.41666667
13.70833333,54.33333333
14.16666667,52
15.70833333,54.41666667
13.33333333,53.08333333
19.5,54.75
16.95833333,48.5
12.33333333,50.58333333
14.54166667,54.66666667
18.125,53.33333333
14.04166667,54.41666667
13.875,53.83333333
20.66666667,55.54166667
19.79166667,51.875
13.375,50.75
13.08333333,51.54166667
16,51.45833333
15.5,54.375
16.375,56.95833333
13.41666667,53.45833333
19.16666667,51.625
14.16666667,52.5
16.83333333,49.70833333
22.45833333,49.95833333
19.29166667,52.5
18.125,58.58333333
16.29166667,52.875
15.16666667,49.29166667
11.95833333,51.91666667
13.875,54.08333333
12.54166667,48.875
17.04166667,49.625
11.75,52.25
17.125,53.08333333
14.91666667,57.20833333
15.125,51.20833333
13.91666667,53.66666667
20.95833333,53.45833333
14.70833333,54.625
12.79166667,53.66666667
14.79166667,54.04166667
15.83333333,50.58333333
13.375,55.58333333
16.08333333,55.66666667
13.29166667,51.33333333
20.58333333,56
14.16666667,53.5
12.66666667,52.75
11.70833333,49.70833333
17.70833333,54.58333333
14.41666667,54.41666667
15.66666667,52.625
17.125,56.45833333
15.70833333,54
13.83333333,51.83333333
16.66666667,54.91666667
17.20833333,57.75
17.95833333,53.125
20.20833333,49.29166667
23.25,53
16.70833333,55.83333333
17.66666667,51.16666667
16.625,51.5
16.5,51.08333333
13.16666667,51.5
14.45833333,51.70833333
16.08333333,50.20833333
19.875,55.45833333
13.20833333,50.875
22.875,55.70833333
16.125,57.95833333
18.16666667,53.58333333
12.70833333,54.20833333
20.08333333,55.20833333
17.08333333,50.54166667
10.29166667,52.91666667
14.83333333,45.66666667
17.625,50.5
16.625,48.79166667
17.41666667,55.83333333
17.29166667,53.16666667
16.95833333,52.75
17.95833333,52.70833333
15,51.29166667
14.25,52.25
16.45833333,52.16666667
16.625,53.41666667
13.625,54.79166667
17.66666667,53.41666667
19.20833333,53.54166667
16.58333333,56
17.20833333,49.29166667
15.58333333,52.08333333
12.33333333,54.29166667
13.16666667,50.125
16.45833333,50.95833333
12.83333333,56.04166667
18.79166667,52.58333333
17,51.625
17.125,49.625
15.45833333,50.45833333
16,57.91666667
16.58333333,51.29166667
17.625,52.5
19.33333333,47.58333333
15.41666667,48.16666667
15.33333333,51.79166667
16.25,51.54166667
15.20833333,53.29166667
15.20833333,49.95833333
16.45833333,53.91666667
15.16666667,50.29166667
17.16666667,54.375
20.58333333,54.75
13.5,50.375
16.45833333,47.5
14.33333333,51
14.125,53
14.45833333,52.25
18.625,50.79166667
14.20833333,49.29166667
14.79166667,49.95833333
17.375,55.625
16.91666667,55.25
14.70833333,56.79166667
21.33333333,47.29166667
13.83333333,50.29166667
17.875,54.83333333
13.125,48.54166667
13.875,53.375
15.83333333,52.29166667
21.45833333,53.75
10.54166667,47.79166667
17.41666667,57.33333333
17.875,56.29166667
12.95833333,54.54166667
22.45833333,50.70833333
15.625,56.33333333
15.83333333,51.54166667
16.04166667,52.95833333
15.875,55.08333333
15.45833333,55.45833333
14.41666667,56.16666667
17.25,55.375
14.83333333,56.58333333
17.25,53
19.45833333,50.875
15,58
13.54166667,52.375
17.83333333,49.95833333
14.04166667,54.54166667
12.625,56.79166667
15.70833333,48.875
15.625,54.45833333
15.29166667,52.70833333
12.20833333,52.20833333
17.875,49.29166667
17.375,53.79166667
16.08333333,54.75
13.04166667,50.83333333
16.625,56.375
12.58333333,56.29166667
13.79166667,53.375
14.58333333,48.79166667
11.5,50.16666667
13.125,55
16.33333333,54.95833333
16.54166667,53.91666667
19.08333333,55.5
16.16666667,52.33333333
17.125,49.45833333
16.41666667,52.79166667
19.70833333,50.5
15.66666667,53
16.66666667,53.5
16.58333333,56
11.83333333,49.125
14.45833333,51.41666667
20.125,54
12.66666667,48.5
14.875,54.29166667
18.29166667,51.79166667
15.70833333,49.95833333
13.91666667,50.75
18.125,53
17.58333333,54.25
14.79166667,55.58333333
14.45833333,53.83333333
21.83333333,50.75
13.95833333,50.16666667
15.29166667,54.41666667
14.20833333,48.25
11.125,51.16666667
17.625,53.33333333
18.625,52.54166667
16.5,55.79166667
24.08333333,50.875
18.58333333,46.25
16.79166667,51.45833333
16.45833333,56.25
17.41666667,53.29166667
19.875,47.70833333
14.125,50.41666667
13.75,50.625
14.41666667,52
18.70833333,52.66666667
18.29166667,53.625
19.25,53.125
17.25,53.5
16.20833333,50.5
15.875,51.70833333
14.91666667,55.25
24.58333333,55
17.66666667,54.45833333
14.33333333,57
18.16666667,51.33333333
12.125,50.5
12.25,54.66666667
13.29166667,54.125
17.83333333,54.70833333
14.625,54.375
15.08333333,50.83333333
16.875,54.125
12.45833333,54.58333333
12.45833333,47.20833333
18.16666667,50.29166667
14.16666667,54.58333333
10.70833333,51.45833333
19.75,54.04166667
14.33333333,55.54166667
16.66666667,54.16666667
23.875,52.45833333
16.70833333,55.5
15.45833333,52.875
15.41666667,55.08333333
16.79166667,52.16666667
14.75,54.08333333
13.45833333,46.25
18.54166667,50.66666667
12.625,53.29166667
16.25,49.95833333
15.75,55.70833333
14.54166667,56.95833333
17.29166667,53.95833333
17.54166667,53.5
13.04166667,53.95833333
17.20833333,55.125
14.875,49.20833333
13.41666667,55.41666667
13.5,52.04166667
15.58333333,51.95833333
12.875,55.58333333
15.66666667,48.79166667
15.625,53.45833333
14.70833333,51.16666667
18.375,55.04166667
15.54166667,56.375
14.66666667,53.25
18.5,48.95833333
12.41666667,57.625
14.95833333,50.25
15.125,51.45833333
16.91666667,51.75
10.875,50
14,49.5
18.91666667,46.79166667
18.54166667,50.75
14.375,46.70833333
15.04166667,50.54166667
14.79166667,53.5
17.75,55.25
12.04166667,51.95833333
18.29166667,55.58333333
17.91666667,48.5
17.58333333,52.16666667
14.70833333,52.54166667
16.20833333,50.16666667
11.83333333,55.29166667
15.54166667,58.875
19.875,49.58333333
12.54166667,54.25
17.83333333,51.125
16.70833333,52.95833333
12.45833333,55.66666667
18,48.95833333
15.41666667,52.875
15.29166667,55.29166667
15.875,50.95833333
17.66666667,54.79166667
13.95833333,54.875
17.08333333,52.16666667
12.625,52.70833333
15.375,51.75
14.08333333,47.29166667
13.70833333,55.875
16.25,47.70833333
16.75,54.20833333
14.79166667,57.875
17.375,52.25
15.66666667,55
12.95833333,56.5
15.5,53.33333333
18.125,53.95833333
17.45833333,53.66666667
12.375,51.875
16.54166667,56.20833333
15.04166667,53.375
15.29166667,55.66666667
19.375,48.95833333
13.125,48.45833333
14.58333333,51.95833333
13.91666667,46.25
15.70833333,52.20833333
17.95833333,53.16666667
16.54166667,47.5
15.66666667,48.08333333
16.29166667,57.16666667
17.54166667,50.375
14.375,53.125
18.58333333,49.70833333
14.875,50.08333333
15.625,51.41666667
15.08333333,57.16666667
18.58333333,53.41666667
20.08333333,55.45833333
17.33333333,50.83333333
12.41666667,59.375
18.54166667,52.75
19.08333333,52.91666667
14.20833333,52.33333333
15.375,49
13.33333333,49.83333333
14.16666667,51.95833333
12.33333333,54.41666667
16.375,52.16666667
19.29166667,53.54166667
15.08333333,54.5
11.125,58.20833333
14.66666667,48.75
15.45833333,54.25
16.41666667,54.20833333
17.33333333,54.25
13.25,52.875
14.08333333,51
17.45833333,51.29166667
14.20833333,53.95833333
15.375,52.79166667
13.125,52.41666667
15.5,53
13.45833333,52.75
16.25,50.83333333
12.16666667,53.08333333
16,55.75
19.91666667,52.79166667
15.25,56.20833333
18.70833333,54.625
18.41666667,48.83333333
16.41666667,50.45833333
16.625,51.5
14.95833333,57.625
15.20833333,48.04166667
13.83333333,51.33333333
13.875,51.29166667
16.20833333,51.58333333
10.41666667,48.91666667
13.66666667,54.95833333
16.5,52.25
17.75,54.375
15.45833333,52.625
12.41666667,50.95833333
19.29166667,55.125
15.375,53
16.70833333,53.45833333
15.58333333,51.75
17.66666667,54.54166667
14.70833333,51.875
15.5,52.79166667
16,54.91666667
13.41666667,54
19.95833333,51.91666667
14.5,56.58333333
23.58333333,49.54166667
14.91666667,55.91666667
14.04166667,50.95833333
13.83333333,55.70833333
13.25,52.25
14.33333333,51.41666667
15.95833333,49.70833333
13.25,53.95833333
19.41666667,52.95833333
19.33333333,56.08333333
14.95833333,49.75
14.875,54.41666667
21.45833333,53.41666667
15.95833333,58.54166667
14.875,49.75
12.83333333,50.04166667
16.70833333,54
15.16666667,52.04166667
15.375,51.66666667
17.04166667,50.41666667
16.29166667,50.29166667
11.83333333,56.83333333
15,48.625
13.75,52.04166667
14.33333333,46.125
11.375,53.70833333
13.625,52.41666667
16.125,48.91666667
15.79166667,51.16666667
15.20833333,54.66666667
15.125,57.5
16.25,52.79166667
12.08333333,54.66666667
17.95833333,55.58333333
13.20833333,51.91666667
12.66666667,55
16.70833333,49.70833333
17.08333333,49.58333333
13.29166667,54.5
16.41666667,51.45833333
12.41666667,51.54166667
13.58333333,55.25
17.95833333,55.95833333
13.95833333,53.95833333
14.45833333,55.41666667
16.91666667,51.70833333
18.70833333,57.25
20.20833333,50.20833333
17.45833333,48.66666667
14.625,54.375
16.29166667,51.45833333
14.375,53.45833333
11.29166667,50.375
21.375,57.41666667
15.5,53.625
15.04166667,53.75
16.875,47.375
18.16666667,55
18.54166667,52.5
15.08333333,52.875
17.41666667,54.25
13.95833333,47.625
15.125,55.875
16.79166667,53.83333333
16.33333333,53.33333333
13.875,51.91666667
16.33333333,50.70833333
17.66666667,50.91666667
18,53.45833333
16.83333333,51.95833333
13.95833333,48.54166667
12.45833333,52.20833333
17.16666667,52.79166667
15.08333333,56.20833333
21.375,52.20833333
18.375,50.875
14.45833333,50.83333333
15.41666667,49.83333333
20.95833333,51.79166667
18.79166667,53.54166667
15.25,50.5
13.54166667,57.625
16,53.20833333
15.70833333,53.33333333
18.08333333,46.54166667
15.45833333,50.58333333
17.20833333,49.91666667
13.16666667,51.125
14.95833333,50.08333333
14.08333333,53.41666667
12.95833333,49.79166667
16.08333333,53.5
14.20833333,52.70833333
14.20833333,52.66666667
15.66666667,51.79166667
14.54166667,51.875
16.58333333,53.75
17.375,53.125
16,51.95833333
13.83333333,50.54166667
16.58333333,51.75
18.79166667,51.45833333
19.41666667,47.29166667
14.75,51.41666667
16.95833333,46.20833333
18.29166667,49.5
17.58333333,53.04166667
13.83333333,54.29166667
16.33333333,56.95833333
16.45833333,52.75
14.625,57.54166667
15.16666667,45.125
16.375,50.95833333
12.54166667,50.08333333
16.54166667,53.125
14.66666667,54.79166667
15.125,51.08333333
16.91666667,52.125
15.33333333,60.29166667
13.75,54.54166667
14.25,54.5
17.625,53.41666667
16.5,53.04166667
16,52.875
15.25,59.5
17.79166667,55.41666667
10.79166667,51.79166667
15.66666667,50.08333333
12.54166667,52
14.08333333,55.625
14.08333333,51.54166667
14.58333333,51.41666667
15.20833333,55.91666667
15.41666667,54.66666667
15.83333333,51.33333333
14.58333333,50.08333333
18.29166667,52.125
16.125,50.79166667
14.54166667,51.95833333
15.16666667,55.08333333
14.54166667,59.16666667
15.45833333,52.33333333
16.75,49.58333333
13.83333333,53
14.20833333,53.83333333
15.54166667,58.20833333
13.70833333,55.33333333
13.70833333,53.41666667
14.16666667,49
19.83333333,51.29166667
14.66666667,52
14.875,55.25
16.83333333,51.95833333
15.875,55.04166667
14.20833333,50.875
13.875,47.375
16.04166667,53.66666667
17.16666667,48.54166667
16.20833333,58.125
15.95833333,52.70833333
14.33333333,49.25
21.20833333,53.04166667
18.66666667,51.125
15.375,50.16666667
15.625,48.125
13.29166667,52.75
13.08333333,53.25
18.66666667,56.29166667
17.04166667,52.54166667
17.54166667,53.16666667
13.20833333,56.58333333
16.66666667,52.75
19.54166667,52.45833333
14.375,52.375
17.29166667,51.29166667
14.70833333,52.41666667
16.375,49.875
17.91666667,53.95833333
18.875,52.45833333
11.125,51.125
15.54166667,53.04166667
14.33333333,57.70833333
16.875,53.58333333
14.04166667,52.83333333
14.16666667,58.58333333
18.875,53.54166667
15.08333333,49.5
16.5,50.66666667
14.83333333,54.95833333
13.625,48.16666667
13.45833333,53.41666667
11.91666667,50.54166667
16.79166667,54.83333333
16.95833333,51.29166667
12.54166667,55.33333333
17.16666667,57.20833333
17.95833333,58.45833333
17.41666667,51.58333333
17.33333333,54.41666667
14.45833333,50.20833333
16.625,55.33333333
15.29166667,57
21.66666667,48.58333333
19.58333333,50.375
14.125,50.70833333
12.875,50.08333333
15.875,53.75
19.41666667,47.79166667
16.20833333,53.20833333
16.41666667,50.625
13.125,51
20.16666667,50.16666667
12.41666667,55.75
11.70833333,54.5
13.66666667,56.375
14.91666667,49.875
15.91666667,49.625
16.04166667,53.08333333
12.125,53.45833333
14.75,50.75
16.08333333,53.54166667
20.33333333,47.16666667
17.54166667,52.79166667
10.66666667,51.41666667
19,51.25
20.95833333,51.66666667
17.5,59.29166667
14,50.79166667
