music_baby,music_other,speech_baby,speech_other,,mean,std
2.958333333,7.166666667,21.375,25.625,,3.111,0.382179205
3.208333333,7.291666667,22.25,28.41666667,,6.872083333,0.575487565
2.625,6,22.83333333,25.54166667,,22.63491667,1.549719596
2.75,6.458333333,23,23.75,,26.85554167,1.206959644
3.291666667,7.666666667,24.41666667,25.875,,,
3.166666667,7.166666667,24.54166667,27.5,,,
2.541666667,6.708333333,22.45833333,28.66666667,,,
3.083333333,6.5,21.95833333,27.95833333,,,
2.75,6.416666667,22.91666667,26.20833333,,,
3,6.166666667,20.41666667,26.75,,,
3.083333333,7.291666667,19.54166667,30.04166667,,,
3.416666667,7.625,21.375,25.25,,,
3.041666667,6.875,23.66666667,26.125,,,
2.916666667,7.041666667,22.375,26.66666667,,,
2.5,7.166666667,25.16666667,25.83333333,,,
3,6.458333333,22.25,26.91666667,,,
2.75,7.958333333,21.20833333,27.58333333,,,
3.166666667,7,21.79166667,28.16666667,,,
3.333333333,5.791666667,26.625,25.08333333,,,
2.583333333,6.75,22,27.41666667,,,
3.125,7.25,24.91666667,25.375,,,
2.958333333,6.083333333,25,25.79166667,,,
2.708333333,6.5,24.79166667,24.91666667,,,
3.083333333,7.208333333,23.75,26.04166667,,,
3.041666667,6.125,22.54166667,28.45833333,,,
2.875,6.416666667,21.70833333,27.33333333,,,
3.583333333,6.041666667,22.70833333,24.70833333,,,
2.333333333,6.375,19.91666667,27.66666667,,,
2.916666667,6.625,20.79166667,28.66666667,,,
3.375,7.708333333,23.20833333,26.25,,,
3.083333333,7.875,23.66666667,28.29166667,,,
2.916666667,6.458333333,22.25,26.54166667,,,
3,7,21.91666667,27.95833333,,,
3.291666667,7,20.45833333,28.375,,,
4.041666667,7.333333333,21.75,27.66666667,,,
3.958333333,6.625,21.5,27.125,,,
3.75,6.333333333,19.58333333,25.75,,,
2.75,7,24.29166667,24.91666667,,,
3.208333333,6.958333333,21.58333333,27,,,
3.5,7.333333333,27.125,26.41666667,,,
2.75,6.125,24,25.875,,,
3.375,6.291666667,21.70833333,26.58333333,,,
2.916666667,7.083333333,23.125,26.70833333,,,
2.375,7.75,22,25.125,,,
2.25,6.875,22.875,26.66666667,,,
3.416666667,6.458333333,21.375,28.875,,,
2.666666667,6.333333333,21.54166667,25.5,,,
3.541666667,6.791666667,21.41666667,25.70833333,,,
2.5,6.25,23.45833333,25.29166667,,,
3.75,7.041666667,21.45833333,27.79166667,,,
2.958333333,7.375,22.125,27.58333333,,,
3.125,6.208333333,21.875,27.33333333,,,
2.75,5.708333333,21.75,26.70833333,,,
3.25,7.291666667,22.66666667,27.20833333,,,
2.958333333,6.458333333,23.95833333,25.75,,,
3.208333333,6.958333333,23.75,26.54166667,,,
3.208333333,7.083333333,26,25.83333333,,,
3.041666667,7.333333333,24.33333333,28.29166667,,,
2.875,7.666666667,20.75,27.45833333,,,
2.708333333,6.75,21.16666667,28.45833333,,,
2.375,5.416666667,25.08333333,28.33333333,,,
3.166666667,6.875,23.5,25.58333333,,,
3.541666667,7.125,23.45833333,27.75,,,
3.333333333,6.833333333,21.08333333,27.41666667,,,
3.5,7.166666667,22.95833333,25.33333333,,,
3.708333333,7.458333333,19.41666667,27.29166667,,,
3.458333333,7.375,22.625,27.83333333,,,
3.125,6.208333333,20.20833333,27.58333333,,,
3.625,6.708333333,23.54166667,27.20833333,,,
3.083333333,6.541666667,21.79166667,30.04166667,,,
3.416666667,5.333333333,23.54166667,25.16666667,,,
3.333333333,7.25,20.16666667,27.08333333,,,
3.416666667,6,23.20833333,25.33333333,,,
2.791666667,6.833333333,23,27.875,,,
3.208333333,7.041666667,24.79166667,26.54166667,,,
2.916666667,7.208333333,24.95833333,26.79166667,,,
3.541666667,7.166666667,26.25,26.16666667,,,
3.416666667,6.708333333,23.95833333,26.08333333,,,
3.75,7.333333333,21.83333333,26.95833333,,,
3,6.291666667,24.79166667,26.625,,,
2.5,7.75,23.29166667,25.5,,,
2.791666667,6.208333333,23.04166667,25.75,,,
3.75,6.708333333,23.5,26.58333333,,,
2.916666667,7.125,21.75,26.25,,,
3.125,5.791666667,21.70833333,27.16666667,,,
2.666666667,6.708333333,23.08333333,27.45833333,,,
3.083333333,6.5,21.33333333,26.20833333,,,
3.5,7.375,22.04166667,26.58333333,,,
3.5,7.375,21.5,27.375,,,
3.25,7.541666667,23.25,28.125,,,
2.833333333,7.375,22.66666667,28.20833333,,,
3.125,6.875,25.95833333,24.95833333,,,
3.5,7.5,20.375,29.33333333,,,
2.708333333,6.375,21.54166667,26.33333333,,,
3.166666667,7.166666667,21.75,27.08333333,,,
3.083333333,6.833333333,23.45833333,24.33333333,,,
3.333333333,6.041666667,25.5,28.5,,,
2.833333333,6.458333333,24.54166667,27.83333333,,,
3.291666667,6.833333333,22.70833333,25.54166667,,,
3.791666667,7.083333333,22.875,27.08333333,,,
3.875,7.833333333,19.54166667,26.25,,,
3.291666667,7.5,21.08333333,28,,,
2.791666667,7.5,23.20833333,26.625,,,
2.416666667,6.125,23.04166667,27.45833333,,,
2.458333333,6,20.33333333,27.66666667,,,
2.583333333,6.833333333,23.54166667,28.625,,,
3.458333333,7.083333333,20.58333333,27.20833333,,,
3.291666667,6.625,23.04166667,28.625,,,
2.5,7.125,22.70833333,28,,,
2.5,7.208333333,24.54166667,27.375,,,
2.375,6.541666667,25.875,25.75,,,
3.291666667,6.375,22.91666667,25.79166667,,,
2.875,6.625,23.375,25.79166667,,,
2.166666667,6.333333333,23.95833333,26.16666667,,,
3.458333333,7.125,26.41666667,27.04166667,,,
3.625,7.666666667,22.25,29,,,
3.125,7.208333333,25.625,25.66666667,,,
2.875,7.166666667,24.5,26.08333333,,,
2.25,7.333333333,23.66666667,26.41666667,,,
3.791666667,7.458333333,20.45833333,25.58333333,,,
2.833333333,5.75,21.375,26.29166667,,,
2.875,7.291666667,24.29166667,26.70833333,,,
3.041666667,7.291666667,20,28.04166667,,,
3.25,6.791666667,22.125,25.66666667,,,
2.916666667,6.916666667,23.33333333,25.5,,,
2.791666667,6.916666667,21.45833333,27.125,,,
2.708333333,7.083333333,23.375,24.70833333,,,
3.541666667,6.833333333,21.33333333,27.125,,,
3.541666667,7.375,20.58333333,27.04166667,,,
3.625,6.083333333,20.04166667,27.91666667,,,
2.875,6.75,21.625,25.58333333,,,
3.333333333,6.75,23.25,27.5,,,
3.375,8.166666667,21.25,26.625,,,
4.083333333,7.083333333,18.79166667,26.08333333,,,
3.208333333,7.916666667,21.08333333,29.33333333,,,
2.833333333,6.583333333,23.33333333,25.20833333,,,
3.25,6.791666667,22.91666667,25.45833333,,,
3,6.458333333,22.45833333,27.25,,,
3.166666667,7.541666667,22.29166667,26.83333333,,,
3.125,6.5,22.91666667,26.66666667,,,
2.833333333,6.958333333,22.5,26.58333333,,,
3.458333333,8.041666667,21.875,25.95833333,,,
4,6.833333333,23.58333333,27.625,,,
2.875,6.25,25.75,27.375,,,
2.833333333,6,24.25,25.16666667,,,
2.791666667,6.75,23,26.54166667,,,
2.583333333,7.25,25.16666667,26.25,,,
2.708333333,6.166666667,21.25,28.33333333,,,
3.125,6.583333333,21.54166667,28.79166667,,,
3.541666667,8.416666667,22.33333333,27.375,,,
2.833333333,6.208333333,24.625,25.04166667,,,
3.083333333,7.458333333,21.20833333,26.75,,,
3,6.833333333,23.33333333,26.91666667,,,
2.458333333,6.583333333,21.125,28.04166667,,,
3.416666667,6.5,22.25,25.625,,,
2.416666667,6.75,21.04166667,27.20833333,,,
3,6.416666667,21.875,25.70833333,,,
2.625,6.958333333,20.5,27.75,,,
3.833333333,8,20.70833333,26.125,,,
2.375,6.5,20.41666667,25.75,,,
3.083333333,6.958333333,20.875,27.58333333,,,
3.625,7,20,28.75,,,
3.75,6.708333333,22.875,26.20833333,,,
2.333333333,6,23.83333333,23.45833333,,,
3.166666667,6.291666667,20.75,29.04166667,,,
3.541666667,8.041666667,23.95833333,26.91666667,,,
3.083333333,6,19.29166667,29.08333333,,,
3,7.291666667,25.33333333,25.33333333,,,
3.291666667,6.75,24.16666667,25.125,,,
2.708333333,6.541666667,24.25,26.625,,,
2.583333333,5.791666667,20.66666667,28.45833333,,,
3.291666667,7.583333333,25.79166667,26.41666667,,,
2.875,6.75,24.20833333,28.25,,,
2.375,5.833333333,24.95833333,26.20833333,,,
3.541666667,6.625,24.91666667,25.79166667,,,
2.958333333,5.708333333,23.95833333,25.29166667,,,
3.458333333,5.875,23.25,26.66666667,,,
2.916666667,6.625,21.33333333,27.54166667,,,
2.916666667,6.833333333,23.91666667,26.04166667,,,
2.791666667,6.833333333,22.54166667,27.41666667,,,
2.75,6.208333333,20.83333333,28.45833333,,,
2.75,6.166666667,21.70833333,26.04166667,,,
2.75,6.333333333,23.16666667,26.75,,,
3.125,6.208333333,20.33333333,26.95833333,,,
3.625,7.583333333,21.75,26.79166667,,,
3.416666667,6.833333333,26.91666667,24.58333333,,,
2.666666667,6.708333333,23.91666667,26,,,
3.166666667,6.5,21.375,28.375,,,
2.833333333,5.916666667,21.20833333,26.91666667,,,
2.875,7.666666667,21.375,26.41666667,,,
3.208333333,7.375,20.41666667,27.125,,,
3.916666667,6.166666667,25,24.70833333,,,
3.041666667,7.166666667,25.125,24.75,,,
3.625,7.166666667,23.375,28.79166667,,,
2.625,6.75,22.41666667,26.75,,,
2.833333333,7.375,23.41666667,27.08333333,,,
2.875,6.25,22.33333333,26.75,,,
3,7.291666667,22.83333333,26.5,,,
3,5.791666667,23.04166667,25.20833333,,,
2.75,6.708333333,23.625,28.70833333,,,
2.958333333,6.125,23,25.04166667,,,
2.666666667,7.458333333,22.75,27.20833333,,,
3.125,7.666666667,24.20833333,24.66666667,,,
2.5,6.375,21.95833333,27.58333333,,,
3.208333333,6.75,24.20833333,24.33333333,,,
3.208333333,5.458333333,23.125,25.45833333,,,
3.333333333,7.916666667,22.20833333,26.54166667,,,
3.041666667,6.583333333,24.79166667,26.20833333,,,
2.833333333,6.708333333,21.95833333,25.66666667,,,
2.708333333,7.166666667,21.70833333,26.66666667,,,
3.041666667,6.583333333,21.91666667,28.04166667,,,
3.333333333,7.041666667,22.375,26.125,,,
2.791666667,7.541666667,22.29166667,28.33333333,,,
2.541666667,7.125,26,26.75,,,
3.541666667,8.166666667,20.83333333,27.875,,,
3.333333333,7.083333333,22.91666667,27.625,,,
2.875,7.583333333,20.16666667,27.91666667,,,
2.75,5.916666667,23.45833333,27.625,,,
3.083333333,8,20.91666667,27.20833333,,,
3.041666667,7.416666667,20.70833333,28.20833333,,,
2.916666667,8,22.875,28.375,,,
3,6.583333333,22.375,25.58333333,,,
2.958333333,6.375,23.45833333,26.16666667,,,
3.958333333,6.333333333,22.58333333,25.41666667,,,
3.125,7.166666667,22,26.70833333,,,
4.041666667,6.958333333,21.70833333,24.16666667,,,
2.291666667,6.833333333,23.91666667,26.79166667,,,
3.541666667,6.541666667,22.41666667,27.54166667,,,
3.125,6.125,22.5,25.66666667,,,
3.166666667,6.708333333,23.75,26.41666667,,,
2.625,6.583333333,22.75,28.20833333,,,
2.958333333,6.791666667,23.08333333,26.79166667,,,
3.5,6.708333333,26.04166667,25.16666667,,,
3.25,5.916666667,20.625,24.625,,,
4,7.458333333,26.79166667,25.41666667,,,
2.416666667,7.166666667,20.16666667,28.41666667,,,
2.916666667,7.125,21.16666667,27.58333333,,,
3.416666667,7.333333333,23.66666667,24.04166667,,,
2.625,7.083333333,21.54166667,27.70833333,,,
2.708333333,6.5,22.66666667,27.875,,,
3.208333333,6.125,23.20833333,25.875,,,
3.375,6.708333333,23.5,25.45833333,,,
3.166666667,7.291666667,25.66666667,26.08333333,,,
3.166666667,7.208333333,23.45833333,26.70833333,,,
3.625,7.541666667,25.45833333,24.75,,,
3.166666667,7.291666667,24.25,26.08333333,,,
3.25,7.083333333,21.75,26.70833333,,,
3.541666667,7.25,20.91666667,28.16666667,,,
3.291666667,6.125,25.25,25.875,,,
2.916666667,6.833333333,23.54166667,26.04166667,,,
3.125,6.208333333,23.54166667,25.83333333,,,
3.958333333,7.083333333,23.375,29.125,,,
3,6.125,25.58333333,25.20833333,,,
3.041666667,7.375,22.20833333,27.41666667,,,
2.625,5.916666667,22.54166667,26.25,,,
2.958333333,7,23.25,25.375,,,
3.333333333,6.541666667,21.125,27.79166667,,,
3.458333333,7.333333333,23.04166667,28.33333333,,,
3,6.75,22.58333333,29.54166667,,,
2.791666667,6.375,24.25,28.125,,,
3.666666667,6.625,22.95833333,26.54166667,,,
2.583333333,6.708333333,23.95833333,27.125,,,
3.458333333,7.416666667,23.83333333,27.5,,,
2.833333333,6.083333333,21.91666667,24.33333333,,,
2.5,6.333333333,22.54166667,24.875,,,
3.958333333,6.625,23.91666667,24.25,,,
2.916666667,6.208333333,23.16666667,26.54166667,,,
3.833333333,8.25,20.83333333,27.54166667,,,
3.333333333,6.708333333,20.79166667,26.75,,,
3.875,6.458333333,21.70833333,26.625,,,
3.083333333,6.625,23.625,25.16666667,,,
2.708333333,7.625,24.41666667,26.375,,,
2.916666667,7.25,20.91666667,27.625,,,
3.125,7.25,21.04166667,26.91666667,,,
2.833333333,7.041666667,20.125,25.875,,,
3.75,7.25,21.33333333,25.75,,,
3.083333333,7.333333333,25.29166667,27.25,,,
3.083333333,7.541666667,22.375,25.66666667,,,
3.541666667,7.583333333,21.79166667,25.79166667,,,
3.5,6.208333333,21.08333333,27.83333333,,,
3.166666667,6.666666667,20.75,28.41666667,,,
3.25,7.375,25.41666667,24.875,,,
3.083333333,6.666666667,26.66666667,25.375,,,
3.375,5.875,21.79166667,26.5,,,
3.208333333,5.875,20.58333333,25.875,,,
3.333333333,6.833333333,24.25,27.29166667,,,
3.208333333,6.791666667,24.58333333,24.16666667,,,
2.541666667,6.583333333,24.45833333,26,,,
3.375,7.166666667,20.08333333,28.66666667,,,
2.583333333,7.208333333,21.95833333,26.79166667,,,
3.625,7.708333333,21.16666667,26.91666667,,,
3.25,7,22.54166667,26.08333333,,,
2.666666667,6.041666667,22,26.41666667,,,
2.5,6.75,22.58333333,27.29166667,,,
3.25,5.958333333,22.66666667,27.04166667,,,
3.083333333,6.541666667,21.58333333,26.375,,,
2.875,7.083333333,24.5,26.91666667,,,
2.75,7.458333333,22.91666667,25.75,,,
3.25,7.333333333,25.25,25.58333333,,,
2.958333333,6.958333333,21.125,27.375,,,
3.125,6.125,25.125,25.875,,,
2.375,7.5,22.29166667,27.70833333,,,
4.041666667,7.75,21.29166667,27.33333333,,,
2.916666667,6.208333333,21.66666667,27.20833333,,,
3.708333333,7.833333333,23.25,26,,,
2.541666667,7.25,24.95833333,26.08333333,,,
2.791666667,6.416666667,27.33333333,24.625,,,
2.958333333,6.916666667,24.33333333,24.95833333,,,
3.25,7.083333333,19.95833333,29.70833333,,,
3.041666667,7.333333333,24.16666667,28.58333333,,,
3,6.875,24.54166667,27.41666667,,,
3.375,8.041666667,20.95833333,27.33333333,,,
2.916666667,7.958333333,20.54166667,27.66666667,,,
3.833333333,6.75,21.5,25.25,,,
3.666666667,7.25,21.5,28.66666667,,,
3.375,7.375,22.75,27.95833333,,,
2.291666667,6,19.66666667,26,,,
3.375,6.291666667,22.41666667,25.41666667,,,
3.416666667,7.625,21.75,26.125,,,
2.5,6.375,19.625,30.33333333,,,
2.541666667,6.666666667,19.95833333,27.54166667,,,
3.625,7.125,20.875,26.45833333,,,
2.5,7,22.125,27,,,
3.541666667,7.25,22.875,27.58333333,,,
3.666666667,6.5,21.91666667,25.16666667,,,
3.125,7.833333333,20.25,29.125,,,
3.583333333,7.375,21.33333333,26.75,,,
3.458333333,6.708333333,25.83333333,25.95833333,,,
3.333333333,6.458333333,22.25,26.29166667,,,
3.583333333,6.25,21.79166667,24.58333333,,,
2.666666667,6.791666667,24.16666667,26.54166667,,,
3.041666667,6.791666667,22.20833333,26.125,,,
3.041666667,5.916666667,22.33333333,25.375,,,
3,6.875,22.5,26.375,,,
3.208333333,6.458333333,23.20833333,27.70833333,,,
3.041666667,6.625,21.83333333,27.08333333,,,
3.166666667,6.708333333,21.45833333,27.29166667,,,
3.416666667,6.875,22.41666667,26.875,,,
2.166666667,6.458333333,22.54166667,27.04166667,,,
2.791666667,7.916666667,20.66666667,27.45833333,,,
3.041666667,7.541666667,22.875,27.625,,,
3.083333333,6.541666667,21.375,26.58333333,,,
2.875,7.666666667,21.33333333,28.45833333,,,
3.083333333,7.25,21.04166667,28.20833333,,,
3.208333333,6.666666667,22.20833333,26.41666667,,,
2.916666667,6.875,21.5,28.41666667,,,
2.916666667,6.958333333,21.41666667,28.125,,,
2.5,7.333333333,19.375,30.125,,,
3.291666667,7.291666667,23.75,25.70833333,,,
2.791666667,5.541666667,24.5,26.41666667,,,
2.75,6.5,21.75,27.875,,,
2.791666667,6.25,21.29166667,26.66666667,,,
2.791666667,6.75,26.875,27.70833333,,,
2.75,7.166666667,23.29166667,25.875,,,
3,6.916666667,21.75,26.83333333,,,
3.208333333,6.875,24.08333333,26.58333333,,,
2.708333333,7.833333333,21.875,27.83333333,,,
3.416666667,7.541666667,21.25,27.375,,,
3.416666667,7.75,23.5,27.125,,,
3.875,6.541666667,21.75,27.75,,,
3.125,6.916666667,21.125,27.29166667,,,
3.083333333,6.458333333,24.33333333,25.375,,,
3.625,6.166666667,22.91666667,25.79166667,,,
3.541666667,7.083333333,24.04166667,26,,,
4.041666667,6.25,21.33333333,25.41666667,,,
2.791666667,6.708333333,20.58333333,25.54166667,,,
2.75,7.083333333,21.95833333,26.70833333,,,
2.833333333,6.916666667,20.08333333,28.16666667,,,
2.5,6.541666667,22.45833333,28.79166667,,,
3.166666667,7,25.04166667,26.75,,,
3.291666667,7.291666667,22.5,25.29166667,,,
2.75,6.791666667,23.875,27.95833333,,,
2.875,7.583333333,20.70833333,28.875,,,
2.708333333,7.041666667,23.66666667,27.04166667,,,
3.708333333,6.333333333,21.95833333,26.625,,,
2.708333333,6.791666667,22.83333333,27.04166667,,,
2.541666667,6.333333333,21.95833333,25.20833333,,,
3.125,5.583333333,24.08333333,26.04166667,,,
3.333333333,6.416666667,22.625,26.54166667,,,
2.833333333,6.458333333,22.79166667,26.58333333,,,
2.916666667,6.375,22.5,26.95833333,,,
2.458333333,6.125,21.45833333,27.54166667,,,
3.208333333,7.333333333,23.45833333,28.25,,,
2.75,6.625,23.45833333,26.875,,,
2.833333333,7.666666667,22.08333333,26.5,,,
3.375,7.041666667,21,27.58333333,,,
3.041666667,6.166666667,24.83333333,24.29166667,,,
2.958333333,7.291666667,24.54166667,26.66666667,,,
2.583333333,6.291666667,25.29166667,28.66666667,,,
3.416666667,7.5,21.79166667,26.45833333,,,
3,7.333333333,22.41666667,26.66666667,,,
2.958333333,6.458333333,21.45833333,26.375,,,
3.125,7.25,20.125,29.125,,,
3.083333333,7.291666667,22.625,24.66666667,,,
3.666666667,7.166666667,22.04166667,29.66666667,,,
3.375,6.541666667,21.45833333,27.75,,,
3.375,8.291666667,21.45833333,27.33333333,,,
3.541666667,6.208333333,24.04166667,25.29166667,,,
3.083333333,7.208333333,20.58333333,27.95833333,,,
3.083333333,6.708333333,22.79166667,29.29166667,,,
3,6.583333333,21,26.33333333,,,
2.333333333,7.333333333,21.54166667,26.83333333,,,
3.208333333,7.416666667,22.08333333,27.625,,,
3.25,7.583333333,22.70833333,27.54166667,,,
3,7.333333333,24.25,27.41666667,,,
2.791666667,6.916666667,23.54166667,28.79166667,,,
3.541666667,7.708333333,22.375,30.33333333,,,
3.041666667,5.166666667,24.5,24.54166667,,,
2.916666667,7.125,23.375,26.95833333,,,
2.916666667,7.416666667,22.45833333,27.66666667,,,
2.833333333,7.375,24.04166667,26.79166667,,,
3.291666667,8.375,24.79166667,28.25,,,
3,7.333333333,19.83333333,26.29166667,,,
3,7.75,23.875,25.875,,,
2.208333333,5.458333333,22.375,27.33333333,,,
3.041666667,7.833333333,19.91666667,28.54166667,,,
2.5,5.916666667,24.33333333,27.66666667,,,
2.625,6.625,23.29166667,26.08333333,,,
3.041666667,7.708333333,23.41666667,26.75,,,
2.958333333,5.875,22.95833333,26.125,,,
3.541666667,6.875,24,26.91666667,,,
2.875,7.833333333,22.79166667,27,,,
2.875,7.041666667,22.54166667,28.5,,,
2.958333333,6.666666667,19.66666667,24.54166667,,,
3.5,7.958333333,23.66666667,27.83333333,,,
3.416666667,6.041666667,23.70833333,26.625,,,
3.083333333,6.458333333,20.875,27,,,
3.083333333,7.125,22.5,28.29166667,,,
4.166666667,7,22.33333333,28.70833333,,,
3.208333333,6.583333333,21.25,27.91666667,,,
3.25,6.25,21.66666667,26.54166667,,,
2.541666667,5.958333333,23.33333333,27,,,
2.916666667,5.708333333,23.5,25.25,,,
2.875,6.916666667,20.625,26.95833333,,,
3.25,6.5,22.125,27.54166667,,,
2.875,5.541666667,23.41666667,27.125,,,
2.708333333,6.5,23.41666667,24.91666667,,,
2.333333333,7.333333333,23.75,28.04166667,,,
3.541666667,7.125,22.91666667,27.875,,,
2.875,6.875,21.83333333,26.70833333,,,
2.875,6.333333333,21.5,25.66666667,,,
2.833333333,7.083333333,22.66666667,27.375,,,
3.25,7.375,20.875,26.75,,,
3.5,5.791666667,22.5,25.70833333,,,
2.833333333,7.166666667,20.75,27.95833333,,,
3.125,6.791666667,20.91666667,25.91666667,,,
3.25,6.166666667,23,25.70833333,,,
3.375,7.625,23.66666667,27.875,,,
3.375,8.041666667,22.33333333,27.58333333,,,
2.666666667,6.875,23.375,28.33333333,,,
3.125,8.041666667,24.04166667,25.875,,,
2.625,5.791666667,24.45833333,25.91666667,,,
3.166666667,7.541666667,22.91666667,25.375,,,
3.375,6.5,24.95833333,26.66666667,,,
3.208333333,6.583333333,21.83333333,25.375,,,
2.875,6,23.95833333,27.20833333,,,
2.625,6.5,21.33333333,28.16666667,,,
3.916666667,8.041666667,20.58333333,25.83333333,,,
3.541666667,7,23.125,27.625,,,
3.25,6.291666667,21.875,29.20833333,,,
2.791666667,7.5,23,26.20833333,,,
3.583333333,7.708333333,21.08333333,26.79166667,,,
3.083333333,6.958333333,20.625,26.08333333,,,
3.333333333,5.333333333,22.91666667,25.08333333,,,
2.333333333,5.958333333,22.70833333,29.25,,,
3.458333333,7,20.66666667,26.875,,,
4,6.916666667,22.91666667,26.58333333,,,
3.291666667,7.333333333,23.25,26.20833333,,,
2.75,6.958333333,21.91666667,27.66666667,,,
3.708333333,8.083333333,20.91666667,27.58333333,,,
3.333333333,7.75,23.08333333,29.5,,,
3.25,7.875,21.08333333,27.75,,,
3.083333333,6.75,20.25,28.125,,,
2.541666667,6.541666667,23.25,26.625,,,
3.125,7.583333333,22.70833333,26.29166667,,,
2.916666667,6.208333333,23.5,26.375,,,
2.916666667,6.666666667,18.54166667,28.83333333,,,
2.791666667,6.125,24.54166667,26.75,,,
3.041666667,6.625,21.45833333,26.95833333,,,
3.75,6.291666667,25.375,26.83333333,,,
3.541666667,6.291666667,22.70833333,26.75,,,
3,7.708333333,21.04166667,26.79166667,,,
3.333333333,7.041666667,20.41666667,26.125,,,
3.291666667,7.583333333,21.29166667,27.41666667,,,
3.5,6.583333333,26.25,25.79166667,,,
3.208333333,6.791666667,21.875,26.875,,,
2.958333333,6.416666667,20.91666667,28.91666667,,,
2.833333333,7.166666667,23.20833333,28.33333333,,,
2.666666667,6.666666667,23.79166667,25.75,,,
3.25,7.125,20,28.625,,,
3,7.666666667,20.54166667,26.58333333,,,
2.875,7.458333333,20.08333333,27.45833333,,,
3.458333333,5.333333333,22.91666667,25.45833333,,,
3.25,6.5,23.04166667,24.25,,,
2.833333333,7.125,23.54166667,24.41666667,,,
2.708333333,5.791666667,23.70833333,26.29166667,,,
3.333333333,6.125,23.91666667,25.25,,,
3.125,7.291666667,21.5,29,,,
3.166666667,7,21.04166667,27.20833333,,,
